# r E_b  E_dimer E_monomer_1 E_monomer_2
2.399999999999999911e+00 7.720100000000051921e-02 -2.553215199999999996e+01 -1.280177100000000046e+01 -1.280758200000000002e+01
2.500000000000000000e+00 -2.766100000000015768e-02 -2.563705900000000071e+01 -1.280150000000000077e+01 -1.280789799999999978e+01
2.600000000000000089e+00 -1.054680000000018936e-01 -2.571717900000000157e+01 -1.280420299999999934e+01 -1.280750800000000034e+01
2.700000000000000178e+00 -1.605499999999988603e-01 -2.577354499999999859e+01 -1.280536599999999936e+01 -1.280762900000000037e+01
2.799999999999999822e+00 -1.910069999999990387e-01 -2.580515499999999918e+01 -1.280645499999999970e+01 -1.280769300000000044e+01
2.899999999999999911e+00 -2.056299999999975370e-01 -2.582019499999999823e+01 -1.280683400000000027e+01 -1.280773100000000042e+01
3.000000000000000000e+00 -2.096870000000006229e-01 -2.582455200000000062e+01 -1.280707600000000035e+01 -1.280778899999999965e+01
3.100000000000000089e+00 -2.068829999999994840e-01 -2.582198999999999955e+01 -1.280724599999999924e+01 -1.280786100000000083e+01
3.200000000000000178e+00 -1.999680000000001456e-01 -2.581522000000000006e+01 -1.280737799999999993e+01 -1.280787399999999998e+01
3.299999999999999822e+00 -1.904539999999990130e-01 -2.580579499999999982e+01 -1.280744800000000083e+01 -1.280789299999999997e+01
3.399999999999999911e+00 -1.796549999999985658e-01 -2.579507299999999859e+01 -1.280751700000000071e+01 -1.280790099999999931e+01
3.500000000000000000e+00 -1.679999999999992610e-01 -2.578346900000000019e+01 -1.280756900000000087e+01 -1.280790000000000006e+01
3.600000000000000089e+00 -1.559889999999981569e-01 -2.577149999999999963e+01 -1.280760700000000085e+01 -1.280790400000000062e+01
3.700000000000000178e+00 -1.441449999999981912e-01 -2.575966599999999929e+01 -1.280760700000000085e+01 -1.280791400000000024e+01
3.799999999999999822e+00 -1.323959999999999582e-01 -2.574794599999999889e+01 -1.280764699999999934e+01 -1.280790299999999959e+01
3.899999999999999911e+00 -1.212629999999990105e-01 -2.573688299999999884e+01 -1.280771099999999940e+01 -1.280790900000000043e+01
4.000000000000000000e+00 -1.108439999999983883e-01 -2.572649099999999933e+01 -1.280773800000000051e+01 -1.280790900000000043e+01
4.099999999999999645e+00 -1.011699999999979838e-01 -2.571684499999999929e+01 -1.280776400000000059e+01 -1.280791100000000071e+01
4.200000000000000178e+00 -9.329100000000067894e-02 -2.570885600000000082e+01 -1.280765399999999943e+01 -1.280791100000000071e+01
4.299999999999999822e+00 -8.409300000000108355e-02 -2.569969999999999999e+01 -1.280769699999999922e+01 -1.280790999999999968e+01
4.400000000000000355e+00 -7.687899999999991962e-02 -2.569262600000000063e+01 -1.280782899999999991e+01 -1.280791800000000080e+01
4.500000000000000000e+00 -6.845500000000193097e-02 -2.568414500000000089e+01 -1.280777999999999928e+01 -1.280790999999999968e+01
4.599999999999999645e+00 -6.189700000000009084e-02 -2.567762400000000156e+01 -1.280780900000000067e+01 -1.280791800000000080e+01
4.700000000000000178e+00 -5.607400000000062334e-02 -2.567181899999999928e+01 -1.280782999999999916e+01 -1.280791499999999949e+01
4.799999999999999822e+00 -5.090799999999973124e-02 -2.566665899999999922e+01 -1.280783800000000028e+01 -1.280791299999999922e+01
4.900000000000000355e+00 -4.631500000000166040e-02 -2.566208900000000170e+01 -1.280785700000000027e+01 -1.280791699999999977e+01
5.000000000000000000e+00 -4.693199999999997374e-02 -2.566274400000000000e+01 -1.280789200000000072e+01 -1.280791999999999931e+01
