# r E_b  E_dimer E_monomer_1 E_monomer_2
2.399999999999999911e+00 2.940000000002385150e-04 -2.842217099999999874e+01 -1.420570099999999947e+01 -1.421676399999999951e+01
2.500000000000000000e+00 -1.015599999999992065e-01 -2.852578799999999859e+01 -1.420735499999999973e+01 -1.421687299999999965e+01
2.600000000000000089e+00 -1.739189999999997127e-01 -2.860109399999999980e+01 -1.421059699999999992e+01 -1.421657800000000016e+01
2.700000000000000178e+00 -2.164580000000029258e-01 -2.864545800000000142e+01 -1.421252299999999913e+01 -1.421647699999999936e+01
2.799999999999999822e+00 -2.358310000000010120e-01 -2.866607700000000136e+01 -1.421350699999999989e+01 -1.421673900000000046e+01
2.899999999999999911e+00 -2.393330000000002400e-01 -2.867028900000000036e+01 -1.421417100000000033e+01 -1.421678499999999978e+01
3.000000000000000000e+00 -2.328100000000006276e-01 -2.866425500000000071e+01 -1.421468199999999982e+01 -1.421676300000000026e+01
3.100000000000000089e+00 -2.210129999999992378e-01 -2.865298400000000001e+01 -1.421514600000000073e+01 -1.421682500000000005e+01
3.200000000000000178e+00 -2.062270000000019365e-01 -2.863864600000000138e+01 -1.421553899999999970e+01 -1.421687999999999974e+01
3.299999999999999822e+00 -1.902409999999985502e-01 -2.862302199999999885e+01 -1.421586399999999983e+01 -1.421691700000000047e+01
3.399999999999999911e+00 -1.742970000000010344e-01 -2.860732000000000141e+01 -1.421607200000000049e+01 -1.421695099999999989e+01
3.500000000000000000e+00 -1.589370000000016603e-01 -2.859218900000000119e+01 -1.421629800000000010e+01 -1.421695399999999943e+01
3.600000000000000089e+00 -1.446009999999997575e-01 -2.857801200000000108e+01 -1.421644700000000050e+01 -1.421696400000000082e+01
3.700000000000000178e+00 -1.314150000000005036e-01 -2.856495699999999971e+01 -1.421656499999999923e+01 -1.421697699999999998e+01
3.799999999999999822e+00 -1.194170000000003284e-01 -2.855306500000000014e+01 -1.421665600000000040e+01 -1.421699199999999941e+01
3.899999999999999911e+00 -1.084210000000016549e-01 -2.854203100000000148e+01 -1.421663599999999938e+01 -1.421697400000000044e+01
4.000000000000000000e+00 -9.858500000000169905e-02 -2.853233600000000081e+01 -1.421676199999999923e+01 -1.421698899999999988e+01
4.099999999999999645e+00 -8.993399999999773797e-02 -2.852373199999999898e+01 -1.421680500000000080e+01 -1.421699300000000044e+01
4.200000000000000178e+00 -8.221199999999839747e-02 -2.851604199999999878e+01 -1.421683600000000069e+01 -1.421699399999999969e+01
4.299999999999999822e+00 -7.570800000000055263e-02 -2.850944300000000098e+01 -1.421675100000000036e+01 -1.421698400000000007e+01
4.400000000000000355e+00 -6.853900000000123782e-02 -2.850231700000000146e+01 -1.421678700000000006e+01 -1.421699100000000016e+01
4.500000000000000000e+00 -6.219000000000107775e-02 -2.849599600000000166e+01 -1.421682000000000023e+01 -1.421698600000000035e+01
4.599999999999999645e+00 -5.884299999999953457e-02 -2.849274600000000035e+01 -1.421690500000000057e+01 -1.421699800000000025e+01
4.700000000000000178e+00 -5.451699999999881641e-02 -2.848842799999999897e+01 -1.421691500000000019e+01 -1.421699599999999997e+01
4.799999999999999822e+00 -5.067800000000133309e-02 -2.848459000000000074e+01 -1.421691799999999972e+01 -1.421699399999999969e+01
4.900000000000000355e+00 -4.802100000000208979e-02 -2.848196700000000092e+01 -1.421695199999999915e+01 -1.421699399999999969e+01
5.000000000000000000e+00 -4.111000000000153420e-02 -2.847503000000000029e+01 -1.421692999999999962e+01 -1.421698999999999913e+01
